id,question,correct_answer,option1,option2,option3,option4,category,points
1,Which dua do we say while entering a mosque?,Allahumma aftahli abwaba rahmatik.,Allahumma inee as'aluka min fadhlika,Rabbi Zidni Ilmah,Allahumma aftahli abwaba rahmatik.,Subhaana Rabbiyal Adheem,The Great Masjid,10
2,"Does the Kabah have one, two or three doors?",One.,Three,Five,Seven,One.,The Great Masjid,10
3,What direction does the Mihrab of a mosque indicate?,The Kabah.,Madinah.,Jerusalem,The Kabah.,Masjid Al Aqsah,The Great Masjid,10
4,What does a Muslim do when there is no mosque nearby and it is the time for prayer(salah),He prays on any clean available surface.,He delays the prayer,He prays on any clean available surface.,He forgets about the prayer.,He prays double next day,The Great Masjid,10
5,What do we call the brocaded black cloth covering the Kabah?(see pic),Kiswah.,Kiswah.,burqa.,Jilbab.,Hijab.,The Great Masjid,10
6,The most central feature of a mosque is?,The Mihrab.,The Mihrab.,The minar.,The masqura. ,The Dome.,The Great Masjid,10
7,Which act do muslims perform before beginning their prayers(salah) whose absence invalidate the prayer?,Ablution or wudu.,Chanting Dhikr,Chewing Siwak,Ablution or wudu.,Reciting Fatiha,The Great Masjid,10
8,What is the embroidered band on the cloth covering the Kabah called? (see pic),Ratak., Taq.,Kiswah. ,Ratak.,Katar.,The Great Masjid,10
9,What is the name of the first Masjid built in Egypt?,Masjid Amr ibn al-As,Masjid Uthman ibn al-As.,Masjid Khalilullah bin Omar,Masjid Amr ibn al-As,Masjid Muhammad Ali,The Great Masjid,10
10,What is ablution or wudu?,The act of cleaning oneself with water in aparticular manner as a preparation for prayer(salah).,Ritual purification with stone or dry leaves,Ritual cleansing with sand or mud,Recitation for Ruqyah,The act of cleaning oneself with water in aparticular manner as a preparation for prayer(salah).,The Great Masjid,10
11,"The Cave of Hira on top of Jabal al-Nur, as shown in the picture, is situated to?",South-East.,South-West.,South-East.,North-East.,West of Makkah,The Great Masjid,10
12,Which was the earliest Arabic script developed in Makkah-kufic?,Mashq.,Mashq.,Thuluth.,Naskhi.,Sancrit.,The Great Masjid,10
13,What is taharah?,A state in which our body and clothes are free from dirt and filth.,A state of tranquility.,A state of Ecstacy,A state in which our body and clothes are free from dirt and filth.,A state during which our body and soul are connected to Allah,The Great Masjid,10
14,"Umm al-Qura, al-Balad al-Amin, al-Haram al-Amin are the other names of which city?",Makkah.,Madinah.,Jerusalem.,Palestine.,Makkah.,The Great Masjid,10
15,Which of the following constitutes the haram of a Masjid?,The prayer hall.,The prayer hall.,The courtyard.,The ziyada.,The ablution hall,The Great Masjid,10
16,Which act is known as Wuquf.,Standing at Arafat during Hajj.,Circumambulation around the Kabah.,Running between Safa and Marwa.,Standing in prayer.,Standing at Arafat during Hajj.,The Great Masjid,10
17,Which caliph built the Green Dome of the Prophet's Tomb?,The Turkish Caliph Abdul Majid.,The Umayyad caliph Abdul Malik. ,The Abbasid Caliph al-Mansur. ,The Turkish Caliph Abdul Majid.,Umar bin Abdul Azeez,The Great Masjid,10
18,"What Is a staircase of variying height , as shown in the picture, to the right side of the mihrab in a mosque called?",Minbar.,Maqsura.,Minbar.,Minar.,Minaret.,The Great Masjid,10
19,Is the mihrab of a mosque regarded as sacred?,"No, the mihrab itself is not regarded as sacred, what is sacred  is the direction of the prayer which it indicates.","No, the mihrab itself is not regarded as sacred, what is sacred  is the direction of the prayer which it indicates.",Yes.,All of the above,None of the above.,The Great Masjid,10
20,Which place is situated closest to the Kabah?,Mina.,Sinai,Mina.,Muzdalifah.,Arafat.,The Great Masjid,10
21,"In some large mosques of the early Islamic period a wooden platform of single-storey height, positioned in line with the mihrab is found and is called?(see pic)",Dikka.,Minbar.,Maqsura.,Dikka.,Pallete,The Great Masjid,10
22,"While putting on one's shoes, should one put the left or the right one first?",Right,Left,Any,All of the above,Right,The Great Masjid,10
23,What is the distance between Mina and the Kabah?,7km.(Now reduced to 4km following tlhe construction of a tunnel through the mountain,9km,7km.(Now reduced to 4km following tlhe construction of a tunnel through the mountain,11km,25km,The Great Masjid,10
24,"What do we call the tower-like feature of a mosque, shown in the picture?",Minaret,Minaret,Masqura,dome,Ivory-tower,The Great Masjid,10
25,"While stepping into a mosque, should we put our left or right foot first?",Right,Left,Any,Right,All of the above,The Great Masjid,10
26,In which direction relative to the Kabah is the Mina situated?,North-East,South-West.,North-West,South-East,North-East,The Great Masjid,10
27,Is the minbar in the mosque used for reading out the Friday ktuba or making a call to prayer,For reading out the Friday khutba.,Making a call to prayer.,For reading out the Friday khutba.,For Imam to offer prayer.,For congregation to offer prayer after salah.,The Great Masjid,10
28,What acts are categorised  as makruh?,Acts discouraged by the Prophet Muhammad (S.A.W).,Acts permitted by the Prophet Muhammad(S.A.W).,Acts encouraged by the Prophet Muhammad (S.A.W).,Acts discouraged by the Prophet Muhammad (S.A.W).,Acts emphasized by the Prophet Muhammad (S.A.W).,The Great Masjid,10
29,Can you identify the object in the picture? What is this called?,The station of Abraham or marqam Ibrahim.,The station of Abraham or marqam Ibrahim.,The station of the pious.,The station of the Prophet Muhammad (S.A.W).,Wonder foot print,The Great Masjid,10
30,In some mosques there used to be a special structure like a raised platform with protective wooden screens. What is it called?(see pic),Maqsura.,Masqura.,Minbar.,Dikka.,Maqsura.,The Great Masjid,10
31,When do we recite the word of talbiyah?,"While performing  hajj or umrah. Labbaik Allahuma labbaik, Labbaika la sharika laka labbaik; innal hamda wannimata, laka walmulk la sharika lak.",During a journey.,"While performing  hajj or umrah. Labbaik Allahuma labbaik, Labbaika la sharika laka labbaik; innal hamda wannimata, laka walmulk la sharika lak.",During Sujud.,After waking up.,The Great Masjid,10
32,Where is the Khalyf Mosque located?,Mina.,Turkey.,Madinah.,Muzdalifah.,Mina.,The Great Masjid,10
33,"Which masaajid are spiralling stairs in the minaret, projecting wooden consoles as shown in the picture here, and pyramidal and conical minarets found?",Africa.,Malaysia,Indonesia,Africa.,India,The Great Masjid,10
34,What is the unit of Salah?,Rakah.,Rakah.,Shurut.,Ruknu.,Istinja,The Great Masjid,10
